,Number of features,Test error,Train error,Norm of the weights,Square Train error,Square train Test error,Zero one Train error,Zero one train Test error
0,1000.0,,,40.98774053505095,0.015609999999999999,0.015279999999999998,7.804999999999995,7.640000000000002
1,2357.0,,,41.63460309685055,0.014303333333333335,0.013999999999999999,7.151666666666667,6.999999999999995
2,3714.0,,,41.7708849581834,0.013736666666666666,0.01376,6.868333333333332,6.879999999999997
3,5071.0,,,41.75199278762717,0.013713333333333333,0.01352,6.8566666666666665,6.76
4,6428.0,,,41.82691339171961,0.013433333333333334,0.013600000000000001,6.71666666666667,6.799999999999995
5,7785.0,,,41.73548667242025,0.013363333333333333,0.0134,6.681666666666663,6.699999999999995
6,9142.0,,,41.88212631572845,0.013246666666666667,0.01364,6.623333333333337,6.820000000000004
7,10500.0,,,41.85394915908366,0.013170000000000001,0.013519999999999999,6.584999999999996,6.76
8,11857.0,,,41.87688978652069,0.013176666666666666,0.01356,6.588333333333329,6.779999999999998
9,13214.0,,,41.7845174904775,0.013190000000000002,0.01328,6.594999999999995,6.6400000000000015
10,14571.0,,,41.83277769333869,0.013273333333333335,0.013439999999999999,6.6366666666666685,6.720000000000004
11,15928.0,,,41.87212905256176,0.013140000000000002,0.013300000000000001,6.5699999999999985,6.65
12,17285.0,,,41.93372918469567,0.0132,0.01308,6.599999999999994,6.540000000000001
13,18642.0,,,41.83924658430791,0.013176666666666666,0.013199999999999998,6.588333333333329,6.599999999999994
14,20000.0,,,41.92207577669536,0.013120000000000001,0.01338,6.559999999999999,6.689999999999996
