,number_params,test_loss,train_loss,accuracy,epochs,test_error,train_error
0,3985.0,0.00025533783733844756,0.0004999401365717252,,60.0,99.97446621626615,99.95000598634283
1,51685.0,7.487163543701172e-05,0.00014011953336497148,,60.0,99.9925128364563,99.98598804666351
2,99385.0,6.6814586520195e-05,0.0001227078185727199,,60.0,99.99331854134797,99.98772921814273
3,147085.0,6.432972177863121e-05,0.00011858091428875924,,60.0,99.99356702782214,99.98814190857112
4,194785.0,6.483402997255326e-05,0.00011808341356615226,,60.0,99.99351659700274,99.98819165864339
5,242485.0,6.350387632846832e-05,0.00011454158673683803,,60.0,99.99364961236715,99.98854584132631
6,290185.0,6.220355778932571e-05,0.00011396490993599097,,60.0,99.99377964422106,99.9886035090064
7,337885.0,6.138750612735749e-05,0.00011143107563257217,,60.0,99.99386124938727,99.98885689243674
8,385585.0,6.135382950305939e-05,0.00011147071607410908,,60.0,99.9938646170497,99.98885292839259
9,433285.0,6.098879352211952e-05,0.00011130853357414404,,60.0,99.99390112064779,99.98886914664259
10,480985.0,6.072084903717041e-05,0.00011047985876599947,,60.0,99.99392791509628,99.9889520141234
11,528685.0,5.991016551852226e-05,0.00010875336105624834,,60.0,99.99400898344815,99.98912466389437
12,576385.0,5.935349985957146e-05,0.00010846009527643522,,60.0,99.99406465001404,99.98915399047236
13,624085.0,5.965885072946549e-05,0.00010748011258741219,,60.0,99.99403411492705,99.98925198874126
14,671785.0,5.908690318465233e-05,0.00010693254830936591,,60.0,99.99409130968154,99.98930674516906
15,719485.0,5.9296289086341856e-05,0.00010671020870407422,,60.0,99.99407037109137,99.9893289791296
16,767185.0,5.8865516632795334e-05,0.00010629951370259125,,60.0,99.99411344833672,99.98937004862974
