,zero_one_train_loss,mse_train_loss,zero_one_test_loss,mse_test_loss,leaf_sizes,trees
0,53.919999999999995,0.10784,54.05499999999999,0.10811000000000001,10.0,1.0
1,25.98,0.05195999999999999,30.354999999999997,0.06071,100.0,1.0
2,19.563333333333333,0.03912666666666667,27.684999999999995,0.05537000000000001,200.0,1.0
3,14.930000000000001,0.029860000000000005,26.3,0.0526,300.0,1.0
4,11.53,0.023060000000000004,24.949999999999996,0.0499,400.0,1.0
5,8.723333333333331,0.017446666666666666,24.940000000000005,0.049879999999999994,500.0,1.0
6,6.806666666666665,0.013613333333333333,24.264999999999997,0.048530000000000004,600.0,1.0
7,5.236666666666665,0.010473333333333334,24.895,0.04979,700.0,1.0
8,3.65,0.007299999999999999,24.884999999999998,0.04977,800.0,1.0
9,2.0966666666666645,0.004193333333333334,25.165,0.05033000000000001,900.0,1.0
10,1.0466666666666669,0.0020933333333333333,25.29,0.05058,1000.0,1.0
11,0.04666666666666597,9.333333333333333e-05,26.165,0.05233,1100.0,1.0
12,0.0,0.0,25.705000000000002,0.05141,1200.0,1.0
13,0.0,0.0,25.174999999999994,0.05034999999999999,1300.0,1.0
14,0.0,0.0,25.23,0.050460000000000005,1400.0,1.0
15,0.0,0.0,24.965000000000003,0.04993,1500.0,1.0
16,0.0,0.0,25.629999999999995,0.05125999999999999,1600.0,1.0
17,0.0,0.0,25.945000000000004,0.051890000000000006,1700.0,1.0
18,0.0,0.0,26.055,0.052110000000000004,1800.0,1.0
19,0.0,0.0,25.854999999999997,0.05171,1900.0,1.0
20,0.0,0.0,25.695,0.05138999999999999,2000.0,1.0
21,0.0,0.0,24.79,0.04958,2000.0,1.0
22,0.0,0.0,24.755000000000003,0.04951,2000.0,2.0
23,0.0,0.0,17.625,0.03524999999999999,2000.0,3.0
24,0.0,0.0,14.37,0.028739999999999998,2000.0,4.0
25,0.0,0.0,12.200000000000001,0.024399999999999998,2000.0,5.0
26,0.0,0.0,11.035000000000002,0.02207,2000.0,6.0
27,0.0,0.0,9.84,0.019679999999999996,2000.0,7.0
28,0.0,0.0,9.474999999999998,0.01895,2000.0,8.0
29,0.0,0.0,9.030000000000005,0.01806,2000.0,9.0
30,0.0,0.0,8.054999999999998,0.016109999999999996,2000.0,10.0
31,0.0,0.0,7.840000000000001,0.01568,2000.0,11.0
32,0.0,0.0,7.570000000000002,0.015139999999999997,2000.0,12.0
33,0.0,0.0,7.415000000000004,0.01483,2000.0,13.0
34,0.0,0.0,7.174999999999999,0.014349999999999998,2000.0,14.0
35,0.0,0.0,6.919999999999996,0.01384,2000.0,15.0
36,0.0,0.0,6.8100000000000005,0.013620000000000002,2000.0,16.0
37,0.0,0.0,6.8100000000000005,0.013620000000000002,2000.0,17.0
38,0.0,0.0,6.679999999999998,0.01336,2000.0,18.0
39,0.0,0.0,6.275000000000003,0.01255,2000.0,19.0
40,0.0,0.0,6.3100000000000005,0.012620000000000001,2000.0,20.0
